종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2390,110,4.82,2305,2410,2275,466414,1098542340,1.16003E+11,48536642
095570,AJ네트웍스,KOSPI,,4075,45,1.12,4000,4085,3995,87437,352769685,1.84405E+11,45252759
006840,AK홀딩스,KOSPI,,18230,650,3.7,18060,18360,17650,8107,146774090,2.41503E+11,13247561
054620,APS,KOSDAQ,중견기업부,6620,180,2.8,6480,6620,6400,74215,483830320,1.3501E+11,20394221
265520,AP시스템,KOSDAQ,우량기업부,17290,230,1.35,17310,17400,17100,56919,981619960,2.64216E+11,15281421
211270,AP위성,KOSDAQ,벤처기업부,13310,80,0.6,13200,13360,12800,269163,3551621840,2.00745E+11,15082304
027410,BGF,KOSPI,,3555,25,0.71,3555,3615,3535,137629,490586165,3.40273E+11,95716791
282330,BGF리테일,KOSPI,,150400,5800,4.01,147800,150900,145900,57857,8582451400,2.5995E+12,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4230,120,2.92,4200,4240,4110,130182,548038915,2.28561E+11,54033275
138930,BNK금융지주,KOSPI,,7040,240,3.53,6910,7040,6830,972144,6734247400,2.2675E+12,322088438
001460,BYC,KOSPI,,397500,13500,3.52,382000,399500,377500,223,87901500,2.48284E+11,624615
001465,BYC우,KOSPI,,138000,-1000,-0.72,137800,138000,137800,76,10481000,29723130000,215385
013720,CBI,KOSDAQ,중견기업부,1847,-43,-2.28,1890,1930,1835,336823,627907896,75139853476,40682108
083790,CG인바이츠,KOSDAQ,벤처기업부,2760,65,2.41,2685,2800,2685,128347,350030620,2.12228E+11,76894182
001040,CJ,KOSPI,,83700,-600,-0.71,84900,86000,82600,117305,9806630100,2.44211E+12,29176998
079160,CJ CGV,KOSPI,,5590,180,3.33,5500,5630,5440,1634771,9082246580,6.84391E+11,122431285
035760,CJ ENM,KOSDAQ GLOBAL,우량기업부,58200,1900,3.37,57100,58700,56000,126294,7264487500,1.27628E+12,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,14220,290,2.08,14200,14390,13860,19377,275219080,1.2958E+11,9112502
00104K,CJ4우(전환),KOSPI,,67500,-1400,-2.03,68300,69100,67500,5971,405145600,2.8529E+11,4226512
000120,CJ대한통운,KOSPI,,78400,2500,3.29,76800,78400,76300,56189,4369817000,1.78849E+12,22812344
011150,CJ씨푸드,KOSPI,,2740,10,0.37,2730,2765,2715,86612,237815550,98450318020,35930773
011155,CJ씨푸드1우,KOSPI,,19130,30,0.16,20000,20000,18720,28,537370,3826000000,200000
001045,CJ우,KOSPI,,45100,300,0.67,44900,45600,44850,801,36266450,1.01936E+11,2260223
097950,CJ제일제당,KOSPI,,299500,10000,3.45,290000,299500,289500,24064,7082025500,4.50873E+12,15054186
097955,CJ제일제당 우,KOSPI,,128200,1400,1.1,126800,128800,126800,2308,294635300,1.70177E+11,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,23000,350,1.55,22550,23050,22400,59126,1341371600,2.73046E+11,11871586
058820,CMG제약,KOSDAQ,중견기업부,2190,45,2.1,2165,2195,2150,551858,1199700750,3.04174E+11,138892244
023460,CNH,KOSDAQ,중견기업부,1910,-23,-1.19,1938,1956,1910,16505,31694546,71052000000,37200000
056730,CNT85,KOSDAQ,중견기업부,1209,-11,-0.9,1217,1220,1190,29015,35004187,57024849804,47166956
000480,CR홀딩스,KOSPI,,6530,230,3.65,6320,6590,6110,48883,315876330,1.83786E+11,28144832
065770,CS,KOSDAQ,벤처기업부,1437,7,0.49,1462,1462,1413,28105,40083119,27893793810,19411130
083660,CSA 코스믹,KOSDAQ,관리종목(소속부없음),1145,45,4.09,1145,1150,1080,54146,59692150,70128022245,61247181
000590,CS홀딩스,KOSPI,,58800,0,0,58900,59700,58800,675,39943800,67883541600,1154482
012030,DB,KOSPI,,1775,31,1.78,1750,1775,1726,618022,1084905782,3.57084E+11,201173933
404950,DB금융스팩10호,KOSDAQ,SPAC(소속부없음),2825,160,6,2700,2830,2645,503228,1382595000,16498000000,5840000
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2075,0,0,2060,2075,2050,5957,12293875,11028625000,5315000
367360,DB금융스팩9호,KOSDAQ,SPAC(소속부없음),6020,0,0,0,0,0,0,0,29136800000,4840000
016610,DB금융투자,KOSPI,,3865,0,0,3875,3895,3855,102224,394878915,1.64055E+11,42446389
005830,DB손해보험,KOSPI,,86500,1500,1.76,84300,86500,83600,190815,16278790500,6.1242E+12,70800000
000990,DB하이텍,KOSPI,,55300,3200,6.14,53800,55300,52900,499208,27112351600,2.45524E+12,44398588
139130,DGB금융지주,KOSPI,,8200,220,2.76,7990,8200,7950,491473,3953129170,1.387E+12,169145833
060900,DGP,KOSDAQ,중견기업부,1846,-5,-0.27,1851,1907,1819,128715,236953069,44418557222,24062057
025440,DH오토웨어,KOSDAQ,중견기업부,2105,10,0.48,2100,2140,2080,28014,59021740,64794476520,30781224
001530,DI동일,KOSPI,,30500,550,1.84,30900,31200,29800,301854,9199365650,7.94241E+11,26040677
000210,DL,KOSPI,,47450,1950,4.29,46000,47450,45250,156332,7228504850,9.94357E+11,20955884
001880,DL건설,KOSPI,,12870,40,0.31,12900,12980,12640,21098,271006190,2.83826E+11,22053284
000215,DL우,KOSPI,,23050,600,2.67,22500,23450,22050,3611,81442150,38864950750,1686115
375500,DL이앤씨,KOSPI,,36500,750,2.1,35900,36500,35550,200469,7197904550,1.41232E+12,38693623
37550L,DL이앤씨2우(전환),KOSPI,,23650,250,1.07,23700,23800,23400,827,19493550,49947641150,2111951
37550K,DL이앤씨우,KOSPI,,18050,120,0.67,18000,18070,17880,3360,60335690,38155624250,2113885
068790,DMS,KOSDAQ,우량기업부,5880,220,3.89,5730,5900,5680,61633,357327280,1.4449E+11,24573061
007340,DN오토모티브,KOSPI,,76500,500,0.66,76600,77300,75900,17526,1340709100,7.64541E+11,9994005
004840,DRB동일,KOSPI,,5580,0,0,5740,5740,5490,26296,146950450,1.11209E+11,19930000
241520,DSC인베스트먼트,KOSDAQ,중견기업부,2850,-10,-0.35,2870,2910,2845,44445,127756485,79262498550,27811403
065150,DSEN,KOSDAQ,투자주의환기종목(소속부없음),252,7,2.86,248,255,244,171890,42630575,31571166060,125282405
155660,DSR,KOSPI,,4345,70,1.64,4300,4350,4295,9855,42610250,69520000000,16000000
069730,DSR제강,KOSPI,,4275,40,0.94,4275,4275,4220,23131,98404090,61560000000,14400000
180400,DXVX,KOSDAQ,중견기업부,5690,280,5.18,5410,5760,5380,335173,1891331000,1.71949E+11,30219432
017940,E1,KOSPI,,58200,-200,-0.34,58400,58800,57500,23617,1369009500,3.99252E+11,6860000
245620,EDGC,KOSDAQ,기술성장기업부,780,15,1.96,769,786,762,371924,288766240,70208871720,90011374
037370,EG,KOSDAQ,중견기업부,12200,870,7.68,11700,12270,11470,173209,2071906000,1.05225E+11,8624972
278990,EMB,KONEX,일반기업부,11490,-10,-0.09,11500,11500,11490,119,1367410,54186311460,4715954
365550,ESR켄달스퀘어리츠,KOSPI,,3395,85,2.57,3320,3420,3320,324777,1096996545,7.23437E+11,213089000
050120,ES큐브,KOSDAQ,벤처기업부,3155,80,2.6,3075,3160,3075,7506,23346415,42794691330,13564086
383220,F&F,KOSPI,,95700,4400,4.82,92400,96400,92300,172867,16385475800,3.66599E+12,38307075
007700,F&F홀딩스,KOSPI,,16500,100,0.61,16320,16650,16250,25940,426825320,6.45387E+11,39114367
214270,FSN,KOSDAQ,중견기업부,2120,50,2.42,2120,2135,2050,392049,824516730,70490981560,33250463
130500,GH신소재,KOSDAQ,중견기업부,2670,85,3.29,2585,2680,2585,23092,60950790,38835288840,14545052
114090,GKL,KOSPI,,15780,990,6.69,15050,15780,14980,368140,5689279540,9.76082E+11,61855670
900290,GRT,KOSDAQ,외국기업(소속부없음),2800,20,0.72,2755,2820,2735,74485,207771785,1.8865E+11,67375000
078930,GS,KOSPI,,41550,750,1.84,40800,41550,40600,166109,6820152900,3.86063E+12,92915378
083450,GST,KOSDAQ,우량기업부,22300,600,2.76,21950,22350,21700,59178,1297112300,2.07786E+11,9317745
006360,GS건설,KOSPI,,14140,430,3.14,13960,14140,13750,686409,9584843190,1.21012E+12,85581490
001250,GS글로벌,KOSPI,,2415,40,1.68,2390,2415,2380,706600,1695169590,1.99319E+11,82533764
007070,GS리테일,KOSPI,,24700,350,1.44,24600,24700,24350,231141,5670380400,2.58653E+12,104717922
078935,GS우,KOSPI,,35450,100,0.28,35350,35550,35350,1753,62177550,63272081700,1784826
297890,HB솔루션,KOSDAQ,우량기업부,4770,-30,-0.63,4530,4790,4435,3752779,17247412285,3.30097E+11,69202637
078150,HB테크놀러지,KOSDAQ,우량기업부,2640,40,1.54,2570,2645,2560,1743783,4539900025,2.4477E+11,92715916
012630,HDC,KOSPI,,6370,-10,-0.16,6420,6440,6350,36633,234715160,3.80555E+11,59741721
039570,HDC랩스,KOSPI,,7420,-50,-0.67,7520,7650,7420,7421,56128840,1.92605E+11,25957601
089470,HDC현대EP,KOSPI,,4270,10,0.23,4270,4280,4245,75241,320705450,1.36213E+11,31900000
294870,HDC현대산업개발,KOSPI,,12360,160,1.31,12200,12400,12180,333448,4097720500,8.14615E+11,65907330
009540,HD한국조선해양,KOSPI,,102600,6300,6.54,98100,102600,96200,880593,87071789900,7.26132E+12,70773116
267250,HD현대,KOSPI,,60500,1500,2.54,59700,60500,59100,195795,11673370200,4.77908E+12,78993085
267270,HD현대건설기계,KOSPI,,49100,3000,6.51,47450,49150,47300,319752,15459924900,9.67309E+11,19700793
322000,HD현대에너지솔루션,KOSPI,,23950,1000,4.36,23600,24250,23200,97659,2334637650,2.6824E+11,11200000
042670,HD현대인프라코어,KOSPI,,7580,580,8.29,7300,7610,7180,4165817,30917327760,1.51299E+12,199603453
267260,HD현대일렉트릭,KOSPI,,77000,800,1.05,75400,77200,75100,307322,23425184900,2.77563E+12,36047135
329180,HD현대중공업,KOSPI,,115800,4400,3.95,114700,115900,111900,172542,19759027500,1.02799E+13,88773116
097230,HJ중공업,KOSPI,,3470,35,1.02,3455,3520,3430,31030,108011095,2.88962E+11,83274281
195940,HK이노엔,KOSDAQ GLOBAL,중견기업부,41950,250,0.6,41700,42100,40400,410519,16919800600,1.18844E+12,28329891
014790,HL D&I,KOSPI,,2130,30,1.43,2115,2145,2100,27705,58695860,80638820130,37858601
028300,HLB,KOSDAQ,중견기업부,33400,4200,14.38,31300,33600,30300,3668716,1.18085E+11,4.3088E+12,129005979
003580,HLB글로벌,KOSPI,,3830,195,5.36,3745,3905,3645,199951,760451605,1.62316E+11,42380273
278650,HLB바이오스텝,KOSDAQ,중견기업부,2710,115,4.43,2680,2745,2630,544401,1466079955,2.13007E+11,78600340
343090,HLB사이언스,KONEX,일반기업부,1625,58,3.7,1798,1798,1457,1192,1825673,26522218125,16321365
067630,HLB생명과학,KOSDAQ,중견기업부,9800,690,7.57,9420,9800,9260,904545,8669462110,9.97764E+11,101812698
024850,HLB이노베이션,KOSDAQ,중견기업부,2635,120,4.77,2560,2680,2515,343756,895064710,1.75247E+11,66507231
047920,HLB제약,KOSDAQ,기술성장기업부,12970,910,7.55,12600,13090,12370,336283,4308504200,3.90938E+11,30141728
115450,HLB테라퓨틱스,KOSDAQ,중견기업부,3745,105,2.88,3760,3845,3670,431416,1616673570,2.74535E+11,73307196
046210,HLB파나진,KOSDAQ,벤처기업부,3780,105,2.86,3795,3830,3700,154327,584430375,1.54997E+11,41004527
204320,HL만도,KOSPI,,35500,2000,5.97,34500,35500,34150,398519,13904220050,1.66698E+12,46957120
060980,HL홀딩스,KOSPI,,33300,500,1.52,33250,33500,33000,9504,316376050,3.38641E+11,10169410
011200,HMM,KOSPI,,16750,1720,11.44,15500,16750,15260,2159837,34291654260,8.19141E+12,489039496
403870,HPSP,KOSDAQ,벤처기업부,38400,2700,7.56,37000,38650,35700,3743237,1.413E+11,3.11651E+12,81159000
036640,HRS,KOSDAQ,우량기업부,5230,80,1.55,5190,5240,5150,60141,312714040,85535604000,16354800
082740,HSD엔진,KOSPI,,8480,230,2.79,8360,8480,8260,341414,2863099960,6.06693E+11,71543994
035000,HS애드,KOSPI,,6250,-30,-0.48,6300,6320,6230,17757,111257460,1.03546E+11,16567409
426550,IBKS제19호스팩,KOSDAQ,SPAC(소속부없음),2540,-10,-0.39,2555,2635,2470,270960,693053065,12903200000,5080000
439730,IBKS제20호스팩,KOSDAQ,SPAC(소속부없음),2285,35,1.56,2225,2285,2225,5429,12115515,9848350000,4310000
442770,IBKS제21호스팩,KOSDAQ,SPAC(소속부없음),2170,-5,-0.23,2190,2190,2140,66293,143930120,9135700000,4210000
448760,IBKS제22호스팩,KOSDAQ,SPAC(소속부없음),2180,10,0.46,2180,2180,2150,52327,112768720,9657400000,4430000
003560,IHQ,KOSPI,,3585,0,0,0,0,0,0,0,57908659155,16153043
095340,ISC,KOSDAQ,우량기업부,88200,8100,10.11,82500,89000,79100,553313,47578984100,1.86958E+12,21197058
099520,ITX-AI,KOSDAQ,투자주의환기종목(소속부없음),1284,0,0,0,0,0,0,0,58141862016,45281824
175330,JB금융지주,KOSPI,,10770,450,4.36,10270,10770,10260,547720,5747658750,2.12151E+12,196982894
950170,JTC,KOSDAQ,관리종목(소속부없음),3570,-140,-3.77,3705,3705,3510,73939,263627395,1.7953E+11,50288623
234080,JW생명과학,KOSPI,,12970,190,1.49,12960,12990,12710,24503,316159540,2.05374E+11,15834554
067290,JW신약,KOSDAQ,중견기업부,2410,50,2.12,2395,2430,2350,179486,429466145,1.16709E+11,48427177
001060,JW중외제약,KOSPI,,27200,350,1.3,26950,27850,26250,296681,8054526350,6.21113E+11,22835036
001067,JW중외제약2우B,KOSPI,,61400,0,0,60900,61400,60600,48,2929700,12643242400,205916
001065,JW중외제약우,KOSPI,,32500,-250,-0.76,32750,32750,32500,66,2147000,10898062500,335325
096760,JW홀딩스,KOSPI,,3490,80,2.35,3425,3490,3380,38427,132091505,2.53053E+11,72508159
035900,JYP Ent.,KOSDAQ GLOBAL,우량기업부,107900,2900,2.76,106400,107900,104000,544163,57725422400,3.83234E+12,35517492
318000,KBG,KOSDAQ,벤처기업부,8880,650,7.9,8390,8950,8390,465581,4065109600,77613180240,8740223
024840,KBI메탈,KOSDAQ,중견기업부,1379,-11,-0.79,1392,1410,1379,153066,213082213,46820543007,33952533
105560,KB금융,KOSPI,,55700,3100,5.89,53000,55700,52300,1120846,59923594880,2.24756E+13,403511072
432320,KB스타리츠,KOSPI,,3530,25,0.71,3530,3595,3510,139164,492916575,3.57992E+11,101414285
024120,KB오토시스,KOSDAQ,중견기업부,4360,-5,-0.11,4390,4400,4325,43400,188948830,50140000000,11500000
455250,KB제25호스팩,KOSDAQ,SPAC(소속부없음),2045,-15,-0.73,2070,2070,2045,5098,10434430,8803725000,4305000
458320,KB제26호스팩,KOSDAQ,SPAC(소속부없음),1995,-1,-0.05,2005,2005,1989,29293,58344277,10982475000,5505000
464680,KB제27호스팩,KOSDAQ,SPAC(소속부없음),1823,-34,-1.83,1847,1850,1811,1872660,3412607940,23525815000,12905000
002380,KCC,KOSPI,,250000,9500,3.95,244500,250500,241500,20980,5186444000,2.22162E+12,8886471
021320,KCC건설,KOSDAQ,우량기업부,4515,0,0,4540,4595,4480,15413,69749305,96621000000,21400000
344820,KCC글라스,KOSPI,,41150,150,0.37,41200,41450,40700,12076,496307750,6.57187E+11,15970512
036670,KCI,KOSDAQ,우량기업부,7310,180,2.52,7130,7310,7120,10935,78450830,82383700000,11270000
009070,KCTC,KOSPI,,3860,-40,-1.03,3900,3910,3850,32170,124636905,1.158E+11,30000000
009440,KC그린홀딩스,KOSPI,,2780,50,1.83,2730,2785,2675,34081,93440175,62369244400,22434980
112190,KC산업,KONEX,일반기업부,1605,-94,-5.53,1800,1800,1601,15087,24242622,11436031065,7125253
119650,KC코트렐,KOSPI,,1469,26,1.8,1479,1486,1410,390847,570919255,74824146670,50935430
044180,KD,KOSDAQ,투자주의환기종목(소속부없음),699,0,0,706,709,696,74207,52187978,18675741501,26717799
092220,KEC,KOSPI,,1435,43,3.09,1406,1447,1395,2014865,2871047413,2.88095E+11,200763141
151860,KG ETS,KOSDAQ,우량기업부,11780,450,3.97,11600,11860,11460,382470,4484348020,4.2408E+11,36000000
046440,KG모빌리언스,KOSDAQ,우량기업부,5160,110,2.18,5100,5170,5060,90708,465426790,2.0034E+11,38825568
003620,KG모빌리티,KOSPI,,7940,340,4.47,7720,7940,7640,457351,3582101990,1.48443E+12,186956024
016380,KG스틸,KOSPI,,8090,370,4.79,8000,8110,7820,1539130,12303571360,8.09072E+11,100008897
035600,KG이니시스,KOSDAQ,우량기업부,11140,150,1.36,11090,11150,10920,127269,1405880220,3.10855E+11,27904434
001390,KG케미칼,KOSPI,,6800,390,6.08,6620,6900,6540,951487,6444113660,4.65589E+11,68469040
226360,KH 건설,KOSDAQ,투자주의환기종목(소속부없음),319,0,0,0,0,0,0,0,49825827623,156193817
111870,KH 전자,KOSDAQ,관리종목(소속부없음),2970,0,0,0,0,0,0,0,31672044360,10663988
033180,KH 필룩스,KOSPI,,1326,0,0,0,0,0,0,0,84294994836,63570886
060720,KH바텍,KOSDAQ,중견기업부,15770,760,5.06,15300,15770,15260,387235,6024599520,3.73393E+11,23677442
015590,KIB플러그에너지,KOSPI,,816,1,0.12,816,825,806,1537302,1252147738,1.93336E+11,236931544
001940,KISCO홀딩스,KOSPI,,21400,400,1.9,21000,21500,21000,14822,315594800,3.46175E+11,16176380
058400,KNN,KOSDAQ,우량기업부,1134,34,3.09,1073,1160,1061,21606063,24096140328,1.50175E+11,132429720
025000,KPX케미칼,KOSPI,,42800,0,0,42950,43000,42600,7042,301205950,2.07152E+11,4840000
092230,KPX홀딩스,KOSPI,,50400,0,0,50600,50800,50000,1478,74648200,2.12922E+11,4224646
000040,KR모터스,KOSPI,,538,-1,-0.19,539,548,520,592477,315557738,51722494170,96138465
044450,KSS해운,KOSPI,,8500,410,5.07,8470,8540,8270,266293,2241174680,1.9623E+11,23085880
030200,KT,KOSPI,,33500,250,0.75,33200,33500,32750,915018,30291523150,8.63834E+12,257860760
033780,KT&G,KOSPI,,89700,2400,2.75,87300,89700,86700,300080,26449583700,1.20039E+13,133822497
058850,KTcs,KOSPI,,3630,0,0,3660,3675,3540,1908805,6907121190,1.54947E+11,42685000
058860,KTis,KOSPI,,3120,30,0.97,3105,3130,3060,292153,904573225,1.08582E+11,34802000
122450,KX,KOSDAQ,중견기업부,5090,-40,-0.78,5140,5230,4950,60060,306316770,2.3076E+11,45335964
052900,KX하이텍,KOSDAQ,우량기업부,1132,45,4.14,1100,1132,1087,260659,290905698,62381709244,55107517
376190,LB루셈,KOSDAQ,중견기업부,6150,140,2.33,6200,6200,6010,12417,76037760,1.5129E+11,24600000
061970,LB세미콘,KOSDAQ,우량기업부,6600,250,3.94,6480,6600,6410,313904,2042862060,2.88978E+11,43784592
309960,LB인베스트먼트,KOSDAQ,중견기업부,4340,75,1.76,4380,4380,4230,71624,308591195,1.00763E+11,23217239
093050,LF,KOSPI,,14130,10,0.07,14120,14300,13990,18072,254831420,4.13161E+11,29240000
003550,LG,KOSPI,,84600,5600,7.09,79300,84600,78500,221861,17943567700,1.33077E+13,157300993
034220,LG디스플레이,KOSPI,,13860,940,7.28,13320,13860,13300,2622729,35697146310,4.95933E+12,357815700
051900,LG생활건강,KOSPI,,348500,20500,6.25,336000,348500,332500,132996,45428688000,5.44294E+12,15618197
051905,LG생활건강우,KOSPI,,151900,10800,7.65,143200,152300,142200,17596,2608290400,3.18944E+11,2099697
373220,LG에너지솔루션,KOSPI,,493500,91500,22.76,451500,500000,435000,1879708,8.9089E+11,1.15479E+14,234000000
003555,LG우,KOSPI,,62700,800,1.29,62700,62700,61800,2350,146543800,1.89456E+11,3021620
032640,LG유플러스,KOSPI,,10410,140,1.36,10320,10410,10210,1008795,10401562850,4.54512E+12,436611361
011070,LG이노텍,KOSPI,,242000,15500,6.84,233500,242000,229000,215378,51201983500,5.72744E+12,23667107
066570,LG전자,KOSPI,,105300,3900,3.85,103900,105300,102700,784368,81491406600,1.72321E+13,163647814
066575,LG전자우,KOSPI,,46950,1000,2.18,46500,46950,46200,50376,2346328650,8.06882E+11,17185992
037560,LG헬로비전,KOSPI,,3595,115,3.3,3505,3605,3490,118921,421206700,2.78421E+11,77446865
051910,LG화학,KOSPI,,521000,50000,10.62,499000,529000,487500,708277,3.61847E+11,3.67786E+13,70592343
051915,LG화학우,KOSPI,,330500,25000,8.18,329000,337000,314000,108054,35289533000,2.54115E+12,7688800
079550,LIG넥스원,KOSPI,,90700,0,0,91500,91600,89000,219748,19818059100,1.9954E+12,22000000
006260,LS,KOSPI,,85500,6000,7.55,82000,85900,81700,367800,30936665200,2.7531E+12,32200000
010120,LS ELECTRIC,KOSPI,,71600,5500,8.32,69300,72200,67800,364223,25591623500,2.148E+12,30000000
000680,LS네트웍스,KOSPI,,4510,-25,-0.55,4570,4660,4410,706702,3217161545,3.55402E+11,78803016
060370,LS마린솔루션,KOSDAQ,중견기업부,10410,-70,-0.67,10600,10600,10360,201324,2103837990,2.70017E+11,25938232
229640,LS전선아시아,KOSPI,,11390,-350,-2.98,11610,11830,11300,1833378,21047109470,3.48817E+11,30624879
108320,LX세미콘,KOSPI,,77900,2300,3.04,77200,78300,76700,177893,13828484400,1.26699E+12,16264300
001120,LX인터내셔널,KOSPI,,28050,1750,6.65,26950,28100,26650,570074,15703338500,1.08722E+12,38760000
108670,LX하우시스,KOSPI,,41500,450,1.1,41800,42350,40700,42170,1743987400,3.72158E+11,8967670
108675,LX하우시스우,KOSPI,,19630,620,3.26,19100,19710,19030,4502,87422490,20264637900,1032330
383800,LX홀딩스,KOSPI,,7120,130,1.86,7070,7160,7020,71141,504388790,5.43119E+11,76280690
38380K,LX홀딩스1우,KOSPI,,9420,80,0.86,9400,9450,9310,2205,20719460,13802984700,1465285
086960,MDS테크,KOSDAQ,중견기업부,1583,56,3.67,1560,1596,1532,1330059,2094599899,1.38637E+11,87578536
023150,MH에탄올,KOSPI,,6740,100,1.51,6620,6830,6620,23323,157233860,49731265240,7378526
038340,MIT,KOSDAQ,투자주의환기종목(소속부없음),1283,0,0,0,0,0,0,0,33979354334,26484298
035420,NAVER,KOSPI,,205500,5000,2.49,204500,207500,200000,991210,2.01018E+11,3.37121E+13,164049085
160550,NEW,KOSDAQ,중견기업부,4720,50,1.07,4745,4780,4600,78555,368963725,1.31717E+11,27906106
053290,NE능률,KOSDAQ,우량기업부,5610,-100,-1.75,5720,5730,5530,743774,4175539340,92712582270,16526307
181710,NHN,KOSPI,,22950,600,2.68,22650,23050,22550,54978,1255323000,8.01797E+11,34936682
060250,NHN KCP,KOSDAQ GLOBAL,우량기업부,9210,200,2.22,9090,9380,8990,525121,4815842490,3.69879E+11,40160611
104200,NHN벅스,KOSDAQ,중견기업부,3750,85,2.32,3690,3750,3600,57340,212978480,55603312500,14827550
400760,NH올원리츠,KOSPI,,3400,80,2.41,3320,3400,3300,66643,223108530,1.4348E+11,42200000
005940,NH투자증권,KOSPI,,10270,400,4.05,10140,10270,9950,763199,7738929290,3.40621E+12,331665921
005945,NH투자증권우,KOSPI,,9800,120,1.24,9710,9840,9680,35756,348723620,1.84935E+11,18870968
338100,NH프라임리츠,KOSPI,,4280,50,1.18,4255,4295,4230,18249,77958220,79864800000,18660000
034310,NICE,KOSPI,,11990,0,0,11990,12000,11940,12356,148070650,4.54209E+11,37882300
030190,NICE평가정보,KOSPI,,8470,-30,-0.35,8570,8670,8460,200397,1707045180,5.14255E+11,60714820
008260,NI스틸,KOSPI,,5970,-30,-0.5,6000,6000,5920,54478,324428390,1.70743E+11,28600117
004250,NPC,KOSPI,,5280,190,3.73,5150,5300,5120,137585,719860910,1.93882E+11,36720000
004255,NPC우,KOSPI,,2650,95,3.72,2570,2745,2570,17590,46286490,13992000000,5280000
456040,OCI,KOSPI,,109600,900,0.83,110900,111700,106600,35994,3917940000,8.15065E+11,7436729
010060,OCI홀딩스,KOSPI,,106500,4000,3.9,104300,106500,101400,111814,11630667500,2.11005E+12,19812715
178920,PI첨단소재,KOSPI,,29000,2700,10.27,27150,29750,26700,421161,12103293000,8.51623E+11,29366322
024940,PN풍년,KOSDAQ,벤처기업부,7450,-260,-3.37,7650,7710,7400,167467,1258094840,74500000000,10000000
005490,POSCO홀딩스,KOSPI,,522000,84000,19.18,471000,527000,462000,3314380,1.6552E+12,4.41462E+13,84571230
218410,RFHIC,KOSDAQ,우량기업부,15800,740,4.91,15430,15800,15220,185531,2865784960,4.23226E+11,26786434
327260,RF머트리얼즈,KOSDAQ,벤처기업부,10390,150,1.46,10250,10510,10230,32212,333123030,87621270090,8433231
091340,S&K폴리텍,KOSDAQ,중견기업부,2705,0,0,2705,2745,2690,8880,24081170,31658565305,11703721
010950,S-Oil,KOSPI,,69700,2000,2.95,68000,69700,68000,318416,21944788700,7.84702E+12,112582792
010955,S-Oil우,KOSPI,,49200,0,0,49200,49500,49000,29880,1469262450,1.97879E+11,4021927
419530,SAMG엔터,KOSDAQ,기술성장기업부,20500,400,1.99,20350,20750,19630,128693,2563459660,1.76114E+11,8590930
019550,SBI인베스트먼트,KOSDAQ,중견기업부,749,19,2.6,741,752,730,460123,340445408,1.21388E+11,162066575
950110,SBI핀테크솔루션즈,KOSDAQ,외국기업(소속부없음),4840,-5,-0.1,4850,4935,4805,3005,14547315,1.16414E+11,24052540
034120,SBS,KOSPI,,25150,0,0,25150,25400,25100,25912,653642850,4.59052E+11,18252582
046140,SBS콘텐츠허브,KOSDAQ,우량기업부,5190,50,0.97,5150,5190,5120,7045,36359350,1.11396E+11,21463555
151910,SBW생명과학,KOSDAQ,투자주의환기종목(소속부없음),493,-7,-1.4,507,507,488,74370,36741521,87327120174,177134118
036120,SCI평가정보,KOSDAQ,중견기업부,3785,-35,-0.92,3780,3830,3755,384929,1451774055,1.34368E+11,35500000
099220,SDN,KOSDAQ,중견기업부,1219,39,3.31,1181,1230,1181,152853,185498664,68473437609,56171811
036540,SFA반도체,KOSDAQ,우량기업부,5520,230,4.35,5400,5520,5300,1915910,10362552990,9.07821E+11,164460303
255220,SG,KOSDAQ,중견기업부,1173,16,1.38,1157,1184,1122,105129,121687322,55767652788,47542756
040610,SG&G,KOSDAQ,중견기업부,1577,12,0.77,1572,1590,1557,29773,46832704,53755508092,34087196
049470,SGA,KOSDAQ,중견기업부,579,16,2.84,563,580,563,84733,48666504,34081242171,58862249
184230,SGA솔루션즈,KOSDAQ,벤처기업부,693,25,3.74,671,694,668,71500,48525315,37551746232,54187224
005090,SGC에너지,KOSPI,,27300,0,0,27500,27550,27050,26901,733943100,4.00682E+11,14677004
016250,SGC이테크건설,KOSDAQ,우량기업부,18760,470,2.57,18320,18780,18320,4242,79124240,62782459880,3346613
001380,SG글로벌,KOSPI,,1421,27,1.94,1396,1425,1395,70762,99822109,63894047203,44964143
004060,SG세계물산,KOSPI,,424,1,0.24,424,426,414,565802,237178082,85828183040,202424960
001770,SHD,KOSPI,,21600,350,1.65,21250,21650,21200,2567,54773800,26241364800,1214878
002360,SH에너지화학,KOSPI,,754,-13,-1.69,771,771,743,2687616,2025834037,83794832420,111133730
009160,SIMPAC,KOSPI,,3745,130,3.6,3665,3760,3660,131964,490670145,2.45034E+11,65429516
123700,SJM,KOSPI,,3810,5,0.13,3835,3835,3770,60850,231097005,59454661380,15604898
025530,SJM홀딩스,KOSPI,,3520,20,0.57,3500,3520,3485,27718,97215585,52567708160,14934008
034730,SK,KOSPI,,160800,5300,3.41,157300,160800,156100,223052,35311399500,1.17703E+13,73198329
